iter	Passed	Remaining
0	26	26953
1	50	25164
2	73	24444
3	96	24032
4	121	24092
5	146	24207
6	169	24078
7	193	23986
8	216	23851
9	240	23799
10	260	23463
11	283	23372
12	308	23437
13	332	23416
14	356	23378
15	378	23281
16	400	23171
17	423	23088
18	447	23095
19	471	23117
20	497	23187
21	521	23164
22	543	23095
23	565	22984
24	591	23067
25	619	23197
26	645	23270
27	672	23334
28	695	23277
29	717	23184
30	740	23144
31	766	23185
32	788	23113
33	814	23130
34	836	23071
35	860	23047
36	883	22998
37	907	22978
38	931	22957
39	954	22916
40	978	22885
41	1001	22846
42	1024	22799
43	1048	22772
44	1071	22732
45	1093	22677
46	1115	22628
47	1140	22610
48	1162	22553
49	1185	22533
50	1210	22533
51	1233	22491
52	1256	22453
53	1279	22413
54	1302	22376
55	1325	22339
56	1348	22312
57	1370	22266
58	1393	22233
59	1417	22208
60	1441	22184
61	1463	22140
62	1485	22097
63	1508	22060
64	1530	22019
65	1555	22018
66	1579	21989
67	1602	21957
68	1624	21914
69	1646	21879
70	1669	21849
71	1693	21827
72	1717	21811
73	1741	21791
74	1765	21778
75	1789	21758
76	1813	21739
77	1838	21736
78	1861	21705
79	1888	21714
80	1911	21686
81	1938	21701
82	1963	21690
83	1985	21652
84	2009	21627
85	2032	21597
86	2054	21563
87	2076	21523
88	2100	21497
89	2123	21468
90	2146	21441
91	2171	21429
92	2195	21410
93	2220	21405
94	2239	21334
95	2265	21331
96	2290	21323
97	2311	21276
98	2335	21252
99	2359	21238
100	2382	21210
101	2407	21198
102	2431	21178
103	2454	21145
104	2477	21115
105	2501	21099
106	2523	21057
107	2545	21022
108	2567	20983
109	2590	20956
110	2614	20936
111	2638	20921
112	2663	20907
113	2687	20884
114	2710	20861
115	2734	20840
116	2758	20818
117	2781	20792
118	2805	20769
119	2829	20749
120	2853	20728
121	2878	20714
122	2901	20686
123	2924	20662
124	2949	20645
125	2972	20617
126	2994	20586
127	3017	20554
128	3040	20531
129	3064	20509
130	3087	20483
131	3110	20452
132	3132	20417
133	3152	20374
134	3175	20349
135	3199	20324
136	3222	20299
137	3246	20279
138	3269	20253
139	3292	20225
140	3315	20201
141	3340	20184
142	3365	20166
143	3387	20134
144	3409	20101
145	3431	20074
146	3454	20047
147	3479	20028
148	3503	20011
149	3528	19993
150	3551	19968
151	3574	19942
152	3597	19913
153	3619	19886
154	3643	19864
155	3667	19843
156	3691	19818
157	3713	19791
158	3738	19773
159	3761	19745
160	3785	19724
161	3808	19701
162	3833	19683
163	3857	19663
164	3881	19643
165	3905	19619
166	3928	19596
167	3952	19572
168	3975	19548
169	3998	19521
170	4020	19491
171	4044	19469
172	4067	19443
173	4092	19429
174	4116	19405
175	4138	19374
176	4161	19349
177	4185	19327
178	4211	19318
179	4237	19302
180	4259	19275
181	4284	19255
182	4309	19238
183	4332	19212
184	4355	19187
185	4378	19163
186	4402	19138
187	4425	19114
188	4448	19088
189	4471	19062
190	4495	19041
191	4520	19024
192	4544	19004
193	4567	18977
194	4590	18951
195	4613	18926
196	4637	18904
197	4661	18881
198	4684	18856
199	4709	18836
200	4730	18806
201	4755	18786
202	4778	18759
203	4800	18732
204	4823	18706
205	4847	18683
206	4870	18659
207	4893	18632
208	4914	18601
209	4937	18575
210	4960	18548
211	4983	18524
212	5007	18503
213	5031	18478
214	5054	18455
215	5077	18429
216	5100	18403
217	5123	18378
218	5147	18357
219	5170	18331
220	5192	18303
221	5216	18279
222	5238	18253
223	5261	18226
224	5284	18201
225	5308	18181
226	5334	18165
227	5356	18137
228	5379	18112
229	5401	18084
230	5424	18059
231	5448	18034
232	5472	18014
233	5493	17984
234	5517	17960
235	5540	17936
236	5562	17908
237	5585	17882
238	5608	17857
239	5632	17835
240	5656	17813
241	5679	17789
242	5703	17768
243	5726	17743
244	5749	17718
245	5774	17698
246	5798	17675
247	5821	17651
248	5844	17627
249	5868	17604
250	5890	17578
251	5915	17557
252	5938	17532
253	5960	17506
254	5985	17486
255	6007	17460
256	6030	17433
257	6056	17417
258	6079	17392
259	6102	17367
260	6125	17342
261	6149	17320
262	6171	17293
263	6193	17265
264	6216	17241
265	6239	17217
266	6263	17195
267	6287	17173
268	6310	17149
269	6334	17126
270	6357	17101
271	6379	17075
272	6402	17050
273	6425	17025
274	6448	17001
275	6471	16975
276	6494	16951
277	6517	16925
278	6540	16901
279	6562	16875
280	6585	16850
281	6609	16828
282	6633	16806
283	6656	16781
284	6679	16758
285	6702	16731
286	6725	16709
287	6749	16686
288	6773	16665
289	6797	16642
290	6819	16616
291	6842	16591
292	6864	16565
293	6888	16541
294	6911	16516
295	6934	16492
296	6956	16467
297	6980	16443
298	7002	16417
299	7026	16394
300	7049	16369
301	7071	16345
302	7093	16318
303	7117	16294
304	7140	16271
305	7164	16248
306	7185	16220
307	7208	16195
308	7231	16170
309	7255	16148
310	7279	16126
311	7302	16103
312	7327	16082
313	7349	16057
314	7372	16031
315	7395	16008
316	7421	15989
317	7445	15967
318	7468	15944
319	7491	15918
320	7515	15896
321	7539	15874
322	7562	15850
323	7587	15830
324	7609	15805
325	7632	15780
326	7655	15754
327	7678	15731
328	7700	15705
329	7724	15683
330	7746	15655
331	7768	15630
332	7791	15605
333	7815	15584
334	7839	15561
335	7862	15538
336	7885	15513
337	7907	15487
338	7930	15463
339	7953	15440
340	7977	15416
341	8000	15392
342	8024	15369
343	8047	15345
344	8071	15323
345	8094	15299
346	8117	15276
347	8140	15252
348	8163	15227
349	8185	15201
350	8207	15175
351	8231	15152
352	8255	15131
353	8279	15108
354	8301	15083
355	8324	15059
356	8347	15034
357	8370	15011
358	8395	14990
359	8417	14965
360	8440	14941
361	8464	14917
362	8487	14894
363	8510	14869
364	8533	14846
365	8557	14823
366	8579	14797
367	8602	14774
368	8625	14749
369	8648	14726
370	8671	14701
371	8693	14676
372	8717	14653
373	8741	14631
374	8765	14608
375	8787	14583
376	8810	14559
377	8833	14536
378	8858	14514
379	8880	14489
380	8903	14465
381	8926	14440
382	8949	14416
383	8973	14394
384	8997	14372
385	9020	14349
386	9044	14325
387	9066	14301
388	9090	14279
389	9113	14254
390	9137	14231
391	9160	14207
392	9183	14184
393	9205	14159
394	9229	14137
395	9252	14111
396	9275	14089
397	9298	14065
398	9320	14039
399	9343	14014
400	9366	13990
401	9388	13965
402	9410	13940
403	9434	13917
404	9456	13892
405	9477	13865
406	9500	13842
407	9524	13819
408	9548	13796
409	9571	13773
410	9595	13750
411	9618	13727
412	9642	13704
413	9666	13681
414	9690	13659
415	9712	13635
416	9736	13611
417	9758	13587
418	9782	13565
419	9805	13541
420	9828	13516
421	9850	13492
422	9872	13467
423	9895	13443
424	9919	13420
425	9943	13397
426	9966	13374
427	9989	13349
428	10013	13327
429	10037	13305
430	10062	13284
431	10085	13260
432	10108	13236
433	10130	13212
434	10154	13189
435	10177	13165
436	10201	13142
437	10225	13120
438	10250	13099
439	10273	13075
440	10296	13051
441	10319	13027
442	10343	13005
443	10366	12981
444	10389	12957
445	10414	12936
446	10438	12913
447	10462	12891
448	10485	12867
449	10509	12844
450	10532	12820
451	10554	12796
452	10577	12772
453	10600	12748
454	10622	12723
455	10644	12698
456	10668	12676
457	10695	12657
458	10723	12638
459	10747	12616
460	10769	12592
461	10793	12569
462	10817	12546
463	10840	12522
464	10863	12498
465	10886	12475
466	10910	12452
467	10934	12429
468	10957	12406
469	10980	12382
470	11004	12359
471	11028	12336
472	11052	12313
473	11075	12290
474	11100	12268
475	11125	12247
476	11149	12224
477	11172	12200
478	11194	12176
479	11218	12153
480	11241	12130
481	11265	12107
482	11289	12084
483	11315	12063
484	11340	12042
485	11365	12020
486	11388	11996
487	11413	11974
488	11436	11950
489	11459	11927
490	11483	11904
491	11505	11880
492	11528	11856
493	11551	11831
494	11574	11808
495	11597	11784
496	11641	11781
497	11663	11757
498	11686	11733
499	11709	11709
500	11732	11685
501	11755	11661
502	11779	11639
503	11803	11616
504	11826	11591
505	11847	11566
506	11869	11542
507	11892	11517
508	11918	11496
509	11940	11472
510	11964	11449
511	11989	11427
512	12014	11405
513	12038	11382
514	12062	11360
515	12086	11336
516	12111	11314
517	12135	11291
518	12158	11267
519	12181	11244
520	12206	11222
521	12230	11199
522	12254	11176
523	12277	11152
524	12299	11127
525	12322	11104
526	12347	11082
527	12371	11058
528	12395	11036
529	12421	11014
530	12445	10992
531	12473	10972
532	12500	10952
533	12524	10929
534	12550	10908
535	12575	10886
536	12613	10875
537	12645	10859
538	12671	10837
539	12698	10816
540	12722	10794
541	12746	10771
542	12769	10746
543	12792	10722
544	12814	10698
545	12835	10672
546	12858	10648
547	12881	10624
548	12903	10599
549	12926	10575
550	12948	10551
551	12970	10526
552	12993	10502
553	13015	10478
554	13039	10454
555	13065	10433
556	13089	10410
557	13114	10388
558	13139	10365
559	13163	10342
560	13189	10321
561	13214	10298
562	13238	10275
563	13261	10251
564	13283	10227
565	13305	10202
566	13328	10178
567	13351	10154
568	13373	10130
569	13396	10106
570	13421	10083
571	13444	10059
572	13467	10035
573	13489	10011
574	13512	9987
575	13536	9964
576	13559	9940
577	13582	9916
578	13607	9894
579	13630	9870
580	13654	9847
581	13678	9824
582	13702	9801
583	13736	9785
584	13760	9761
585	13784	9738
586	13808	9715
587	13832	9692
588	13855	9668
589	13878	9644
590	13900	9620
591	13923	9595
592	13946	9572
593	13970	9548
594	13992	9524
595	14015	9500
596	14037	9476
597	14060	9451
598	14084	9428
599	14105	9403
600	14126	9378
601	14148	9353
602	14170	9329
603	14192	9304
604	14216	9282
605	14240	9258
606	14265	9236
607	14292	9214
608	14318	9193
609	14343	9170
610	14367	9147
611	14392	9124
612	14416	9101
613	14448	9083
614	14477	9063
615	14500	9039
616	14524	9016
617	14547	8992
618	14571	8968
619	14595	8945
620	14619	8922
621	14642	8898
622	14664	8873
623	14687	8850
624	14709	8825
625	14731	8801
626	14753	8777
627	14776	8753
628	14799	8729
629	14823	8705
630	14846	8682
631	14869	8658
632	14892	8634
633	14916	8610
634	14940	8588
635	14964	8564
636	14988	8541
637	15012	8518
638	15035	8494
639	15059	8471
640	15084	8447
641	15108	8424
642	15133	8402
643	15157	8378
644	15181	8355
645	15205	8332
646	15229	8308
647	15252	8285
648	15275	8261
649	15298	8237
650	15321	8213
651	15345	8190
652	15370	8167
653	15394	8144
654	15416	8120
655	15438	8096
656	15462	8072
657	15484	8048
658	15507	8024
659	15529	7999
660	15551	7975
661	15575	7952
662	15597	7928
663	15617	7902
664	15639	7878
665	15662	7854
666	15685	7831
667	15708	7806
668	15730	7782
669	15752	7758
670	15775	7735
671	15798	7711
672	15821	7687
673	15845	7664
674	15867	7639
675	15890	7616
676	15913	7592
677	15935	7568
678	15959	7544
679	15982	7521
680	16004	7496
681	16028	7473
682	16051	7450
683	16075	7426
684	16097	7402
685	16118	7378
686	16141	7353
687	16163	7329
688	16186	7306
689	16209	7282
690	16232	7258
691	16257	7235
692	16278	7211
693	16298	7186
694	16321	7162
695	16344	7138
696	16366	7114
697	16388	7090
698	16411	7066
699	16434	7043
700	16458	7020
701	16482	6996
702	16505	6973
703	16527	6948
704	16551	6925
705	16573	6901
706	16596	6877
707	16618	6853
708	16641	6830
709	16663	6806
710	16686	6782
711	16708	6758
712	16731	6734
713	16754	6711
714	16776	6687
715	16800	6663
